Year,Round,Driver,Q_DeltaToPole,Q_Session
2023,20,SAI,1.659000000000006,Q3
2023,20,PER,1.9909999999999997,Q3
2023,20,PIA,0.0,Q2
2023,20,HUL,0.2169999999999987,Q2
2023,20,OCO,0.2319999999999993,Q2
2023,20,GAS,0.2370000000000089,Q2
2023,20,MAG,0.3930000000000007,Q2
2023,20,ALB,0.5100000000000051,Q2
2023,20,TSU,0.507000000000005,Q1
2023,20,RIC,0.5130000000000052,Q1
2023,20,BOT,0.625,Q1
2023,20,SAR,0.7049999999999983,Q1
2023,20,ZHO,0.9450000000000074,Q1
2024,2,VER,0.0,Q3
2024,2,LEC,0.3189999999999884,Q3
2024,2,PER,0.3349999999999937,Q3
2024,2,ALO,0.3739999999999952,Q3
2024,2,PIA,0.6169999999999902,Q3
2024,2,NOR,0.6599999999999966,Q3
2024,2,RUS,0.8439999999999941,Q3
2024,2,HAM,0.9879999999999995,Q3
2024,2,TSU,1.0749999999999886,Q3
2024,2,STR,1.0999999999999943,Q3
2024,2,BEA,1.1699999999999875,Q2
2024,2,ALB,1.5079999999999956,Q2
2024,2,MAG,1.5479999999999876,Q2
2024,2,RIC,1.5529999999999973,Q2
2024,2,HUL,1.5829999999999984,Q1
2024,2,BOT,1.7069999999999936,Q1
2024,2,OCO,2.002999999999986,Q1
2024,2,GAS,2.006999999999991,Q1
2024,2,SAR,2.053999999999988,Q1
2024,6,VER,0.0,Q3
2024,6,LEC,0.1410000000000053,Q3
2024,6,SAI,0.2139999999999986,Q3
2024,6,PER,0.2190000000000083,Q3
2024,6,NOR,0.3529999999999944,Q3
2024,6,PIA,0.4339999999999975,Q3
2024,6,RUS,0.8260000000000076,Q3
2024,6,HAM,0.8659999999999997,Q3
2024,6,HUL,0.9050000000000012,Q3
2024,6,TSU,0.9510000000000076,Q3
2024,6,STR,0.9810000000000088,Q2
2024,6,GAS,1.0829999999999984,Q2
2024,6,OCO,1.1299999999999957,Q2
2024,6,ALB,1.171999999999997,Q2
2024,6,ALO,1.1859999999999928,Q2
2024,6,BOT,1.2219999999999942,Q1
2024,6,SAR,1.2459999999999951,Q1
2024,6,RIC,1.3760000000000048,Q1
2024,6,MAG,1.378,Q1
2024,6,ZHO,1.5829999999999984,Q1
2024,11,VER,0.0,Q3
2024,11,NOR,0.4040000000000106,Q3
2024,11,RUS,0.5260000000000105,Q3
2024,11,SAI,0.5370000000000061,Q3
2024,11,HAM,0.5890000000000128,Q3
2024,11,LEC,0.730000000000004,Q3
2024,11,PIA,0.7340000000000089,Q3
2024,11,PER,0.8880000000000052,Q3
