Year,Round,Driver,Expected_Pace_Delta
2022,9,MSC,-89.04851665382193
2022,9,NOR,56.4917538013724
2022,9,OCO,44.07921302837167
2022,9,PER,-22.92929580791497
2022,9,RIC,47.09335622249091
2022,9,RUS,55.27678665411531
2022,9,SAI,42.591861955046625
2022,9,STR,-31.544607990961595
2022,9,TSU,114.49348387388818
2022,9,VER,91.57500083289597
2022,9,VET,140.75244910956644
2022,9,ZHO,47.25616629657361
2022,10,ALB,112.74714818871871
2022,10,ALO,8.737080318936023
2022,10,BOT,68.84464035128622
2022,10,GAS,63.93556628318947
2022,10,HAM,8.52630039430096
2022,10,LAT,90.32775396392572
2022,10,LEC,15.88757777527735
2022,10,MAG,42.09748936516826
2022,10,MSC,-22.463802402913643
2022,10,NOR,9.475214497828347
2022,10,OCO,102.59357921303854
2022,10,PER,-56.79614687997673
2022,10,RIC,7.403830036746513
2022,10,RUS,-37.77527908429329
2022,10,SAI,-18.271769869282252
2022,10,STR,-138.67880288120796
2022,10,TSU,54.77725323811046
2022,10,VER,-144.58623787689976
2022,10,VET,-119.80564800152388
2022,10,ZHO,-48.33020737561492
2022,11,ALB,71.7715912435724
2022,11,ALO,-184.8052965728839
2022,11,BOT,77.05587435757934
2022,11,GAS,69.21959814624915
2022,11,HAM,-115.29302068556444
2022,11,LAT,69.5358886418262
2022,11,LEC,-212.24323317729704
2022,11,MAG,60.115238227422196
2022,11,MSC,55.497404870798164
2022,11,NOR,63.6327562744591
2022,11,OCO,55.59017684608443
2022,11,PER,69.36030596537512
2022,11,RIC,69.19888011618332
2022,11,RUS,72.10984567811556
2022,11,SAI,-26.587798610983555
2022,11,STR,-117.95179587604525
2022,11,TSU,-114.21647588761243
2022,11,VER,-128.40742427689474
2022,11,VET,54.28007677625101
2022,11,ZHO,-104.72836137812192
2022,12,ALB,5.971439370412554
2022,12,ALO,5.906687635095295
2022,12,BOT,34.08597144780833
2022,12,GAS,9.935023085992725
2022,12,HAM,5.65998636194854
2022,12,LAT,5.726762100122869
2022,12,LEC,-96.38151259622555
2022,12,MAG,57.27691790558856
2022,12,MSC,56.40015136958391
2022,12,NOR,5.819234634172062
2022,12,OCO,5.903351071795441
2022,12,PER,5.969602081602716
2022,12,RIC,5.90252370014241
2022,12,RUS,5.816978980812564
2022,12,SAI,7.646498684105609
2022,12,STR,5.947174770208221
2022,12,TSU,30.290159404817132
2022,12,VER,13.421192306612284
2022,12,VET,1.3889715489876835
2022,12,ZHO,62.57505402589686
2022,13,ALB,104.7739089435936
2022,13,ALO,43.756984292705965
2022,13,BOT,18.575095168020198
2022,13,GAS,-68.79464051293326
2022,13,HAM,-69.31155163930634
2022,13,LAT,97.18765152891501
2022,13,LEC,116.08174534941281
2022,13,MAG,101.02046032842463
2022,13,MSC,30.431304444404304
2022,13,NOR,8.812109597491144
2022,13,OCO,36.895565402643115
2022,13,PER,-20.286893244004204
2022,13,RIC,-33.333735182881355
2022,13,RUS,-0.44209951559059846
2022,13,SAI,-66.47835488945748
2022,13,STR,-73.35565358011081
2022,13,TSU,144.8846191336579
2022,13,VER,5.655804084521151
2022,13,VET,-61.04104157786787
2022,13,ZHO,-22.12648303667629
2022,14,ALB,112.90215861228899
2022,14,ALO,100.19377631596944
2022,14,BOT,-95.55240004704956
2022,14,GAS,201.78209879988754
2022,14,HAM,-227.04856300193296
2022,14,LAT,91.61546979670493
2022,14,LEC,132.52722816618734
2022,14,MAG,113.11838440600877
2022,14,MSC,100.98405412405282
2022,14,NOR,106.46549895840053
2022,14,OCO,99.9433831310862
2022,14,PER,91.48760864350697
2022,14,RIC,99.70523939862869
2022,14,RUS,94.56956493655343
2022,14,SAI,166.39576719330398
2022,14,STR,85.66130410541518
2022,14,TSU,159.25097285020638
2022,14,VER,182.1416285660116
2022,14,VET,90.61262255604197
2022,14,ZHO,201.18830440619058
2022,15,ALB,53.352653787669624
2022,15,ALO,102.93849366308314
2022,15,BOT,56.177893272804795
2022,15,GAS,39.299407500924644
2022,15,HAM,57.77699103875875
2022,15,LAT,17.62774700801492
2022,15,LEC,6.324810616072682
2022,15,MAG,62.773152498250056
2022,15,MSC,62.73347410344286
2022,15,NOR,115.96616963263023
2022,15,OCO,133.89965618651695
2022,15,PER,17.186069765089997
2022,15,RIC,42.42554424611262
2022,15,RUS,71.85823455924583
2022,15,SAI,32.240922796068844
2022,15,STR,11.160624028951133
2022,15,TSU,24.20811719977428
2022,15,VER,14.468493776734249
2022,15,VET,37.84724919121618
2022,15,ZHO,19.374944797558783
2022,16,ALO,-109.26665791271807
2022,16,BOT,-85.7805486947982
2022,16,DEV,-99.20132130161073
2022,16,GAS,42.03141725423302
2022,16,HAM,-85.67598254055156
2022,16,LAT,21.938023510448147
2022,16,LEC,-80.65160235195435
2022,16,MAG,-35.61598952290569
2022,16,MSC,-85.6477306114084
2022,16,NOR,-89.75108820724927
2022,16,OCO,-25.8682154989001
2022,16,PER,38.18481417828298
2022,16,RIC,34.459588532463385
2022,16,RUS,-98.46257688320657
2022,16,SAI,-100.70607640347043
2022,16,STR,42.18140517174561
2022,16,TSU,-1.42639372474423
2022,16,VER,-145.0212145582409
2022,16,VET,-109.12844790599411
2022,16,ZHO,42.02966106448184
2022,17,BOT,124.73763638377295
2022,17,GAS,40.28304616808691
2022,17,HAM,40.42859124322695
2022,17,LEC,40.182588992840465
2022,17,MAG,40.0671221142029
2022,17,MSC,358.5292800795369
2022,17,NOR,40.09861714778617
2022,17,PER,40.05988265909855
2022,17,RIC,124.6927970149145
2022,17,RUS,520.7634866653498
2022,17,SAI,40.15072295985374
2022,17,STR,40.239798009923106
2022,17,TSU,40.12580272445575
2022,17,VER,350.64087259419193
2022,17,VET,40.20094707674161
2022,19,ALB,109.87839327770507
2022,19,ALO,80.31905483365608
2022,19,BOT,24.810540643898094
2022,19,GAS,123.70156876821147
2022,19,HAM,116.7422054294284
2022,19,LAT,111.60089082793274
2022,19,LEC,107.64297906787124
2022,19,MAG,-13.401124985207389
2022,19,MSC,89.21220774217454
2022,19,NOR,112.76705878465418
2022,19,OCO,29.32868008020796
2022,19,PER,109.58401837094152
2022,19,RIC,114.18102157187695
2022,19,RUS,114.96359664876309
2022,19,SAI,-313.63873614076056
2022,19,STR,2.7421393332679145
2022,19,TSU,118.4304088449544
2022,19,VER,129.26865062928937
2022,19,VET,52.38306192502114
2022,19,ZHO,123.41828217924649
2022,20,ALB,-196.9132855171929
2022,20,ALO,-119.04026109703409
2022,20,BOT,-105.34757725493182
2022,20,GAS,-214.35720283780302
2022,20,HAM,27.608839546206582
2022,20,LAT,-100.70744095204464
