Year,Round,Driver,Constructor,GridPosition,Position,Is_DNF,Points
2022,5,STR,aston_martin,0,10,0,1.0
2022,5,ALO,alpine,11,11,0,0.0
2022,5,TSU,alphatauri,9,12,0,0.0
2022,5,RIC,mclaren,14,13,0,0.0
2022,5,LAT,williams,19,14,0,0.0
2022,5,MSC,haas,15,15,0,0.0
2022,5,MAG,haas,16,16,1,0.0
2022,5,VET,aston_martin,0,17,1,0.0
2022,5,GAS,alphatauri,7,18,1,0.0
2022,5,NOR,mclaren,8,19,1,0.0
2022,5,ZHO,alfa,17,20,1,0.0
2022,6,VER,red_bull,2,1,0,25.0
2022,6,PER,red_bull,5,2,0,19.0
2022,6,RUS,mercedes,4,3,0,15.0
2022,6,SAI,ferrari,3,4,0,12.0
2022,6,HAM,mercedes,6,5,0,10.0
2022,6,BOT,alfa,7,6,0,8.0
2022,6,OCO,alpine,12,7,0,6.0
2022,6,NOR,mclaren,11,8,0,4.0
2022,6,ALO,alpine,20,9,0,2.0
2022,6,TSU,alphatauri,13,10,0,1.0
2022,6,VET,aston_martin,16,11,0,0.0
2022,6,RIC,mclaren,9,12,0,0.0
2022,6,GAS,alphatauri,14,13,0,0.0
2022,6,MSC,haas,10,14,0,0.0
2022,6,STR,aston_martin,17,15,0,0.0
2022,6,LAT,williams,19,16,0,0.0
2022,6,MAG,haas,8,17,0,0.0
2022,6,ALB,williams,18,18,0,0.0
2022,6,ZHO,alfa,15,19,1,0.0
2022,6,LEC,ferrari,1,20,1,0.0
2022,7,PER,red_bull,3,1,0,25.0
2022,7,SAI,ferrari,2,2,0,18.0
2022,7,VER,red_bull,4,3,0,15.0
2022,7,LEC,ferrari,1,4,0,12.0
2022,7,RUS,mercedes,6,5,0,10.0
2022,7,NOR,mclaren,5,6,0,9.0
2022,7,ALO,alpine,7,7,0,6.0
2022,7,HAM,mercedes,8,8,0,4.0
2022,7,BOT,alfa,12,9,0,2.0
2022,7,VET,aston_martin,9,10,0,1.0
2022,7,GAS,alphatauri,17,11,0,0.0
2022,7,OCO,alpine,10,12,0,0.0
2022,7,RIC,mclaren,14,13,0,0.0
2022,7,STR,aston_martin,18,14,0,0.0
2022,7,LAT,williams,19,15,0,0.0
2022,7,ZHO,alfa,20,16,0,0.0
2022,7,TSU,alphatauri,11,17,0,0.0
2022,7,ALB,williams,16,18,1,0.0
2022,7,MSC,haas,15,19,1,0.0
2022,7,MAG,haas,13,20,1,0.0
2022,8,VER,red_bull,3,1,0,25.0
2022,8,PER,red_bull,2,2,0,19.0
2022,8,RUS,mercedes,5,3,0,15.0
2022,8,HAM,mercedes,7,4,0,12.0
2022,8,GAS,alphatauri,6,5,0,10.0
2022,8,VET,aston_martin,9,6,0,8.0
2022,8,ALO,alpine,10,7,0,6.0
2022,8,RIC,mclaren,12,8,0,4.0
2022,8,NOR,mclaren,11,9,0,2.0
2022,8,OCO,alpine,13,10,0,1.0
2022,8,BOT,alfa,15,11,0,0.0
2022,8,ALB,williams,17,12,0,0.0
2022,8,TSU,alphatauri,8,13,0,0.0
2022,8,MSC,haas,20,14,0,0.0
2022,8,LAT,williams,18,15,0,0.0
2022,8,STR,aston_martin,19,16,1,0.0
2022,8,MAG,haas,16,17,1,0.0
2022,8,ZHO,alfa,14,18,1,0.0
2022,8,LEC,ferrari,1,19,1,0.0
2022,8,SAI,ferrari,4,20,1,0.0
2022,9,VER,red_bull,1,1,0,25.0
2022,9,SAI,ferrari,3,2,0,19.0
2022,9,HAM,mercedes,4,3,0,15.0
2022,9,RUS,mercedes,8,4,0,12.0
2022,9,LEC,ferrari,19,5,0,10.0
2022,9,OCO,alpine,7,6,0,8.0
2022,9,BOT,alfa,11,7,0,6.0
2022,9,ZHO,alfa,10,8,0,4.0
2022,9,ALO,alpine,2,9,0,2.0
